file_paths,event_title,event_category,event_start,event_end,instructor1,url1_instr,instructor2,url2_instr,instructor3,url3_instr,instructor4,url4_instr,instructor5,url5_instr,instructor6,url6_instr,instructor7,url7_instr,instructor8,url8_instr,instructor9,url9_instr,helper1,url_help1,helper2,url_help2,helper3,url_help3,helper4,url_help4,helper5,url_help5,presenter1,url_pres1,presenter2,url_pres2,presenter3,url_pres3,presenter4,url_pres4,presenter5,url_pres5,presenter6,url_pres6,presenter7,url_pres7,presenter8,url_pres8,presenter9,url_pres9,presenter10,url_pres10,host1,url_host1,host2,url_host2,host3,url_host3,host4,url_host4,host5,url_host5,organizers1,url1_org,organizers2,url2_org,organizers3,url3_org,organizers4,url4_org,organizers5,url5_org,organizers6,url6_org,organizers7,url7_org,organizers8,url8_org,contact_email
events/events/20230911_5day_open_research_summer_school_2023.qmd,5-day Open Research Summer School 2023,Summer School,11-Sep-23,15-Sep-23,Nicklas Hafiz,,Dr. Aaron Peikert,,Laura Meier,,Dr. Florian Pargent,,Dr. Verena Heise,,Sofija Vojvodic,,Florian Kohrt,,Dr. Malika Ihle,,,,Felix Henninger,,Pat Callahan,,Moritz Ketzer,,Maximilian Ernst,,Dr. Karoline Sachse,,Prof. Dr. Uli Dirnagl,,Prof. Dr. Stephan Hartmann,,Dr. Tony Ross-Hellauer,,Prof. Dr. Richard McElreath,,P.D. Dr. Joachim Wuttke,,Dr. Tim Errington,,Valérie Labonté,,Dr. Raphael Ritz,,Prof. Dr. Denis Kenji Kipker,,,,LMU Open Science Center,,LMU University Library (UB),,,,,,,,Dr. Malika Ihle,,,,,,,,,,,,,,,,malika.ihle@lmu.de 
events/events/20230505_welcome_to_the_open_science_universe.qmd,"""Welcome to the Open Science Universe""",ReproducibiliTea Journal Club,5-May-23,5-May-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gracia Prüm,,Laura Goetz,,,,,,,,,,,,,,,,,,ReproducibiliTea Team,,,,,,,,,,Laura Goetz,,Stephan Nuding,,Leonhard Schramm,,Franka Etzel,,Viktoria Wiegelmann,,Gracia Prüm,,,,,,reproducibilitea.munich@gmail.com
events/events/20230511_methodological_hypocrisy_in_psychology.qmd,"""Methodological Hypocrisy in Psychology""",Lecture,11-May-23,11-May-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prof. Dr. J.P. de Ruiter,,,,,,,,,,,,,,,,,,,,ReproducibiliTea Team,,LMU Open Science Center,,,,,,,,Dr. Malika Ihle,,,,,,,,,,,,,,,,malika.ihle@lmu.de 
events/events/20230519_the_importance_of_good_working_conditions_for_high_quality_research.qmd,"""The importance of good working conditions for high quality research""",ReproducibiliTea Journal Club,19-May-23,19-May-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ReproducibiliTea Team,,,,,,,,,,Laura Goetz,,Stephan Nuding,,Leonhard Schramm,,Franka Etzel,,Viktoria Wiegelmann,,Gracia Prüm,,,,,,reproducibilitea.munich@gmail.com
events/events/20230602_the_generalizability_crisis_-_when_verbal_and_statistical_expressions_don't_match.qmd,"""The Generalizability Crisis â€“ when verbal and statistical expressions don't match""",ReproducibiliTea Journal Club,2-Jun-23,2-Jun-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ReproducibiliTea Team,,,,,,,,,,Laura Goetz,,Stephan Nuding,,Leonhard Schramm,,Franka Etzel,,Viktoria Wiegelmann,,Gracia Prüm,,Alp Kaan Aksu,,Finia Loeb,,reproducibilitea.munich@gmail.com
events/events/20230607_sharing_our_experience_from_over_20_submissions_with_a_handson_demonstration_of_a_replication_registered_report.qmd,"""Registered Reports and Peer Community in Registered Report are the future of science: Sharing our experience from over 20 submissions, with a hands-on demonstration of a Replication Registered Report""",Workshop,7-Jun-23,7-Jun-23,Dr. Gilad Feldman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LMU Open Science Center,,,,,,,,,,Dr. Malika Ihle,,,,,,,,,,,,,,,,malika.ihle@lmu.de 
events/events/20230609_current_debates_about_registered_reports.qmd,"""Current Debates about Registered Reports""",ReproducibiliTea Journal Club,9-Jun-23,9-Jun-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dr. Gilad Feldman,,,,,,,,,,,,,,,,,,,,ReproducibiliTea Team,,,,,,,,,,Laura Goetz,,Stephan Nuding,,Leonhard Schramm,,Franka Etzel,,Viktoria Wiegelmann,,Gracia Prüm,,Alp Kaan Aksu,,Finia Loeb,,reproducibilitea.munich@gmail.com
events/events/20230623_theoretical_frameworks_as_lifesavers_for_psychology.qmd,"""Theoretical Frameworks as Lifesavers for Psychology""",ReproducibiliTea Journal Club,23-Jun-23,23-Jun-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ReproducibiliTea Team,,,,,,,,,,,,,,,,,,,,ReproducibiliTea Team,,,,,,,,,,Laura Goetz,,Stephan Nuding,,Leonhard Schramm,,Franka Etzel,,Viktoria Wiegelmann,,Gracia Prüm,,Alp Kaan Aksu,,Finia Loeb,,reproducibilitea.munich@gmail.com
events/events/20230704_anwendungen_und_grenzen_offener_wissenschaftspraktiken_in_den_geisteswissenschaften.qmd,"Open Humanities: Anwendungen und Grenzen offener Wissenschaftspraktiken in den Geisteswissenschaften",Symposium,4-Jul-23,4-Jul-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dr. Eckhart Arnold,,Prof. Dr. Thomas Krefeld,,Dr. Christiane Sibille,,Prof. Dr. Stephan Hoppe,,Prof. Dr. Ralf Ludwig,,Dr. Stephan Lücke,,,,,,,,,,LMU Open Science Center,,LMU University Library (UB),,IT-Gruppe Geisteswissenschaften (ITG),,,,,,Dr. Martin Spenger,,Dr. Malika Ihle,,,,,,,,,,,,,,malika.ihle@lmu.de 
events/events/20230705_why_and_how.qmd,"""Sensitivity Analyses: Why and how?""",Workshop,5-Jul-23,5-Jul-23,Dr. Angelika Stefan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Open Science Initiative in Psychology (OSIP),,,,,,,,,,Dr. Malika Ihle,,,,,,,,,,,,,,,,malika.ihle@lmu.de 
events/events/20230719_reforming_research_assessment_locally.qmd,"""Reforming Research Assessment Locally""",Discussion,19-Jul-23,19-Jul-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prof. Dr. Felix Schönbrodt,,Prof. Dr. Ulrich Mansmann,,PD Dr. Hendrik Ballhausen,,,,,,,,,,,,,,,,LMU Open Science Center,,,,,,,,,,Dr. Malika Ihle,,,,,,,,,,,,,,,,malika.ihle@lmu.de 
events/events/20230911_julia__a_fresh_approach_to_scientific_computing.qmd,"""Julia - A fresh approach to scientific computing""",Workshop,11-Sep-23,11-Sep-23,Dr. Aaron Peikert,,Maximilian Ernst,,Moritz Ketzer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LMU Open Science Center,,,,,,,,,,Dr. Malika Ihle,,,,,,,,,,,,,,,,malika.ihle@lmu.de 
events/events/20231005_workshop_open_replicable_research_by_the_international_biometric_society_[more].qmd,Open Replicable Research by the International Biometric Society,Conference,5-Oct-23,6-Oct-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prof. Dr. Ulrich Dirnagl ,,Prof. Dr. Ioana Cristea ,,,,,,,,,,,,,,,,,,"""Ethics and Responsibility"" working group of the IBS-DR",,LMU Open Science Center,,"Institute for Medical Information Processing, Biometry, and Epidemiology (IBE)",,LMU Institute for Statistics ,,,,Sabine Hoffmann,,Michael Lauseker,,,,,,,,,,,,,,sabine.hoffmann@stat.uni-muenchen.de
events/events/20231027_welcome_to_the_open_science_universe.qmd,"""Welcome to the Open Science Universe""",ReproducibiliTea Journal Club,27-Oct-23,27-Oct-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laura Goetz,,Gracia Prüm,,,,,,,,,,,,,,,,,,ReproducibiliTea Team,,,,,,,,,,Laura Goetz,,Viktoria Wiegelmann,,Gracia Prüm,,Finia Loeb,,Alp Kaan Aksu,,Julian Lange,,,,,,reproducibilitea.munich@gmail.com
events/events/20231103_dealing_with_uncertainty_in_data_analysis.qmd,"""Dealing with Uncertainty in Data Analysis""",ReproducibiliTea Journal Club,3-Nov-23,3-Nov-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Viktoria Wiegelmann,,,,,,,,,,,,,,,,,,,,ReproducibiliTea Team,,,,,,,,,,Laura Goetz,,Viktoria Wiegelmann,,Gracia Prüm,,Finia Loeb,,Alp Kaan Aksu,,Julian Lange,,,,,,reproducibilitea.munich@gmail.com
events/events/20231117_opening_the_door_to_knowledge_through_open_access.qmd,"""Opening the Door to Knowledge Through Open Access""",ReproducibiliTea Journal Club,17-Nov-23,17-Nov-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alp Kaan Aksu,,,,,,,,,,,,,,,,,,,,ReproducibiliTea Team,,,,,,,,,,Laura Goetz,,Viktoria Wiegelmann,,Gracia Prüm,,Finia Loeb,,Alp Kaan Aksu,,Julian Lange,,,,,,reproducibilitea.munich@gmail.com
events/events/20231201_operationalization's_hidden_role_in_scientific_reproducibility.qmd,"""Operationalization's Hidden Role in Scientific Reproducibility""",ReproducibiliTea Journal Club,1-Dec-23,1-Dec-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Finia Loeb,,Gracia Prüm,,,,,,,,,,,,,,,,,,ReproducibiliTea Team,,,,,,,,,,Laura Goetz,,Viktoria Wiegelmann,,Gracia Prüm,,Finia Loeb,,Alp Kaan Aksu,,Julian Lange,,,,,,reproducibilitea.munich@gmail.com
events/events/20231215_the_power_of_preregistration.qmd,"""The Power of Preregistration""",ReproducibiliTea Journal Club,15-Dec-23,15-Dec-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Julian Lange,,,,,,,,,,,,,,,,,,,,ReproducibiliTea Team,,,,,,,,,,Laura Goetz,,Viktoria Wiegelmann,,Gracia Prüm,,Finia Loeb,,Alp Kaan Aksu,,Julian Lange,,,,,,reproducibilitea.munich@gmail.com
events/events/20240108_how_to_review_from_an_open_science_perspective.qmd,"""How to review from an Open Science perspective""",Discussion,8-Jan-24,8-Jan-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prof. Dr. Schönbrodt,,,,,,,,,,,,,,,,,,,,LMU Open Science Center,,,,,,,,,,Dr. Malika Ihle,,,,,,,,,,,,,,,,malika.ihle@lmu.de 
events/events/20240112_the_replication_crisis'_positive_impact_on_research.qmd,"""The Replication Crisis' Positive Impact on Research""",ReproducibiliTea Journal Club,12-Jan-24,12-Jan-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gracia Prüm,,,,,,,,,,,,,,,,,,,,ReproducibiliTea Team,,,,,,,,,,Laura Goetz,,Viktoria Wiegelmann,,Gracia Prüm,,Finia Loeb,,Alp Kaan Aksu,,Julian Lange,,,,,,reproducibilitea.munich@gmail.com
events/events/20240115_version_control_with_git_and_github_within_rstudio.qmd,"""Version control with Git and GitHub within RStudio""",Workshop,15-Jan-24,15-Jan-24,Dr. Malika Ihle,,,,,,,,,,,,,,,,,,Pat Callahan,,Felix Henninger,,Alp Aksu,,,,,,,,,,,,,,,,,,,,,,,,,,LMU Open Science Center,,,,,,,,,,Dr. Malika Ihle,,,,,,,,,,,,,,,,malika.ihle@lmu.de 
events/events/20240129_improve_the_readability_of_your_code.qmd,"""Improve the readability of your code""",Hacky Hour,29-Jan-24,29-Jan-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LMU Open Science Center,,,,,,,,,,Dr. Malika Ihle,,,,,,,,,,,,,,,,malika.ihle@lmu.de 
events/events/20240206_wie_robust_kannmuss_wissenschaft_sein.qmd,Wie robust kann/muss Wissenschaft sein?,Discussion,6-Feb-24,6-Feb-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deutsche Forschungsgemeinschaft (DFG),,Süddeutsche Zeitung,,,,,,,,,,,,,,,,,,junge Kolleg der Bayerischen Akademie der Wissenschaften,,META-REP consortium,,DFG,,,,,,Dr. Johannes Ziegler,,,,,,,,,,,,,,,,meta-rep.coordination@psy.lmu.de 
events/events/20240207_dos_und_don'ts_bei_der_erstellung_eines_ethikantrags_fur_eine_psychologische_studie.qmd,"""Dos und Don'ts bei der Erstellung eines Ethikantrags für eine psychologische Studie""",Workshop,7-Feb-24,7-Feb-24,Prof. Dr. Moritz Henne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Open Science Initiative in Psychology (OSIP),,LMU Open Science Center ,,,,,,,,Dr. Angelika Stefan,,Lena Schiestel,,,,,,,,,,,,,,malika.ihle@lmu.de 
events/events/20240223_from_stories_to_models__(how)_can_we_formalize_'narrative_theories'.qmd,"""From stories to models - (how) can we formalize 'narrative theories'?""",Workshop,23-Feb-24,23-Feb-24,Prof. Dr. Daniel Leising,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LMU Open Science Center ,,,,,,,,,,Dr. Malika Ihle,,,,,,,,,,,,,,,,malika.ihle@lmu.de 
events/events/20240226_version_control.qmd,"""Version control""",Hacky Hour,26-Feb-24,26-Feb-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LMU Open Science Center,,,,,,,,,,Dr. Malika Ihle,,,,,,,,,,,,,,,,malika.ihle@lmu.de 
events/events/20240306_reproducible_manuscripts_with_quarto.qmd,"""Reproducible manuscripts with Quarto""",Workshop,6-Mar-24,6-Mar-24, Dr. Florian Pargent,,Florian Kohrt ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LMU Open Science Center,,,,,,,,,,Dr. Malika Ihle,,,,,,,,,,,,,,,,malika.ihle@lmu.de 
events/events/20240314_increasing_transparency_through_preregistration_andor_multiverse_analyses.qmd,"""Increasing transparency through preregistration and/or multiverse analyses""",Lecture,14-Mar-24,14-Mar-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prof. Dr. Andrea Hildebrandt,,,,,,,,,,,,,,,,,,,,LMU Open Science Center,,,,,,,,,,Dr. Malika Ihle,,,,,,,,,,,,,,,,malika.ihle@lmu.de 
events/events/20240315_multiverse_analysis_and_visualizations_in_r.qmd,"""Making the black box transparent: Multiverse analysis and visualizations in R""",Workshop,15-Mar-24,15-Mar-24,Prof. Dr. Andrea Hildebrandt,,Dr. Cassie Short,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LMU Open Science Center,,,,,,,,,,Dr. Malika Ihle,,,,,,,,,,,,,,,,malika.ihle@lmu.de 
events/events/20240325_reproducible_manuscripts.qmd,"""Reproducible manuscripts""",Hacky Hour,25-Mar-24,25-Mar-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LMU Open Science Center,,,,,,,,,,Dr. Malika Ihle,,,,,,,,,,,,,,,,malika.ihle@lmu.de 
events/events/20240422_reproducible_computational_environment.qmd,"""Reproducible computational environment""",Hacky Hour,22-Apr-24,22-Apr-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LMU Open Science Center,,,,,,,,,,Dr. Malika Ihle,,,,,,,,,,,,,,,,malika.ihle@lmu.de 
events/events/20240423_auftaktveranstaltung.qmd,"""Auftaktveranstaltung""",ReproducibiliTea Journal Club,23-Apr-24,23-Apr-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ReproducibiliTea Team,,,,,,,,,,Laura Goetz,,Viktoria Wiegelmann,,Gracia Prüm,,Finia Loeb,,Alp Kaan Aksu,,Julian Lange,,,,,,reproducibilitea.munich@gmail.com
events/events/20240424_past_present_and_prospects_by_dr_olmo_van_den_akker_(tilburg_university).qmd,"""Preregistration in Psychology: Past, Present, and Prospects"" by Dr. Olmo van den Akker (Tilburg University)",Lecture,24-Apr-24,24-Apr-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dr. Olmo van den Akker,,,,,,,,,,,,,,,,,,,,LMU Department of Sociology,,,,,,,,,,Prof. Dr. Katrin Auspurg,,,,,,,,,,,,,,,,katrin.auspurg@lmu.de
events/events/20240430_fair_data_documentation_in_the_social_sciences__a_workshop_providing_handson_guidance.qmd,"""FAIR data documentation in the social sciences - a workshop providing hands-on guidance""",Workshop,30-Apr-24,30-Apr-24,Dr. Katarina Blask,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LMU Open Science Center,,,,,,,,,,Dr. Malika Ihle,,,,,,,,,,,,,,,,malika.ihle@lmu.de 
events/events/20240507_workshop_on_data_sharing_and_publication.qmd,"""RDM for Medical and Biomedical Sciences: Workshop on Data Sharing and Publication""",Workshop,7-May-24,7-May-24,ZB MED,,LMU University Library (UB),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LMU University Library (UB),,,,,,,,,,Laura Meier,,,,,,,,,,,,,,,,rdm@ub.uni-muenchen.de
events/events/20240508_open_science.qmd,"""Open Science""",ReproducibiliTea Journal Club,8-May-24,8-May-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ReproducibiliTea Team,,,,,,,,,,Laura Goetz,,Viktoria Wiegelmann,,Gracia Prüm,,Finia Loeb,,Alp Kaan Aksu,,Julian Lange,,,,,,reproducibilitea.munich@gmail.com
events/events/20240510_the_good_the_bad_and_the_inbetween__the_many_facets_of_quality_in_scholarly_publishing.qmd,"""The Good, the Bad and the Inbetween - The many facets of quality in scholarly publishing""",Discussion,10-May-24,10-May-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Susanne Lugner,,Clara Ginter ,,Veronika Reinertshofer,,,,,,,,,,,,,,,,Open Science Initiative in Medicine (OSIM),,,,,,,,,,Christina Sauer,,,,,,,,,,,,,,,,christina.sauer@ibe.med.uni-muenchen.de
events/events/20240513_hype_and_reality_by_prof_dr_alexander_wuttke_(lmu_geschwisterschollinstitute_of_political_science).qmd,"Registered Reports: Hype and Reality" by Prof. Dr. Alexander Wuttke (LMU Geschwister-Scholl-Institute of Political Science),Lecture,13-May-24,13-May-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prof. Dr. Alexander Wuttke,,,,,,,,,,,,,,,,,,,,LMU Open Science Center,,,,,,,,,,Dr. Malika Ihle,,,,,,,,,,,,,,,,malika.ihle@lmu.de 
events/events/20240515_a_cocreation_workshop_to_democratize_open_science_at_lmu.qmd,"""A Co-creation Workshop to Democratize Open Science at LMU""",Workshop,15-May-24,15-May-24,Iris Lechner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LMU Open Science Center,,,,,,,,,,Dr. Malika Ihle,,,,,,,,,,,,,,,,malika.ihle@lmu.de 
events/events/20240515_workshop_on_data_management_plans_(dmps).qmd,"""RDM for Medical and Biomedical Sciences: Workshop on Data Management Plans (DMPs)""",Workshop,15-May-24,15-May-24,ZB MED,,LMU University Library (UB),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LMU University Library (UB),,,,,,,,,,Laura Meier,,,,,,,,,,,,,,,,rdm@ub.uni-muenchen.de
events/events/20240522_open_access.qmd,"""Open Access""",ReproducibiliTea Journal Club,22-May-24,22-May-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ReproducibiliTea Team,,,,,,,,,,Laura Goetz,,Viktoria Wiegelmann,,Gracia Prüm,,Finia Loeb,,Alp Kaan Aksu,,Julian Lange,,,,,,reproducibilitea.munich@gmail.com
events/events/20240527_code_documentation.qmd,"""Code documentation""",Hacky Hour,27-May-24,27-May-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LMU Open Science Center,,,,,,,,,,Dr. Malika Ihle,,,,,,,,,,,,,,,,malika.ihle@lmu.de 
events/events/20240527_practices_and_practicalities_of_peer_review.qmd,"""Making Tacit Knowledge Open - Part I: Practices and Practicalities of Peer Review""",Panel Discussion Series,27-May-24,27-May-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dr. Marlene Altenmüller,,Dr. Peter Edelsbrunner,,Dr. Nathan Evans ,,Dr. Florian Pargent ,,Prof. Dr. Tobias Staudigl ,,Dr. Charlotte Wittekind,,,,,,,,,,Open Science Initiative for Psychology (OSIP),,,,,,,,,,Dr. Angelika Stefan,,Lena Schiestel,,,,,,,,,,,,,,malika.ihle@lmu.de 
events/events/20240605_on_the_robustness_of_functional_form_and_data_preprocessing_decisions_by_prof_cristobal_young_(phd_cornell_university).qmd,"""Multiverse Analysis: On the Robustness of Functional Form and Data Pre-Processing Decisions"" by Prof. Cristobal Young (Ph.D. Cornell University)",Lecture,5-Jun-24,5-Jun-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prof. Cristobal Young,,,,,,,,,,,,,,,,,,,,LMU Open Science Center,,,,,,,,,,Prof. Dr. Katrin Auspurg,,,,,,,,,,,,,,,,katrin.auspurg@lmu.de
events/events/20240605_researcher_degrees_of_freedom.qmd,"""Researcher Degrees of Freedom""",ReproducibiliTea Journal Club,5-Jun-24,5-Jun-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Finia Loeb,,Gracia Prüm,,,,,,,,,,,,,,,,,,ReproducibiliTea Team,,,,,,,,,,Laura Goetz,,Viktoria Wiegelmann,,Gracia Prüm,,Finia Loeb,,Alp Kaan Aksu,,Julian Lange,,,,,,reproducibilitea.munich@gmail.com
events/events/20240618_hello_world__academia_abroad.qmd,"""Making Tacit Knowledge Open - Part II: Hello World - Academia Abroad""",Panel Discussion Series,18-Jun-24,18-Jun-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prof. Dr. Christopher Donkin,,Dr. Nathan Evans,,Prof. Dr. Friederike Funk ,,Prof. Dr. David Goretzko ,,Dr. Malika Ihle,,Prof. Dr. Clemens Stachl,,,,,,,,,,Open Science Initiative for Psychology (OSIP),,,,,,,,,,Dr. Angelika Stefan,,Lena Schiestel,,,,,,,,,,,,,,Angelika.Stefan@psy.lmu.de
events/events/20240619_praregistrierung.qmd,"ReproducibiliTea Journal Club:Â ""Präregistrierung""",ReproducibiliTea Journal Club,19-Jun-24,19-Jun-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ReproducibiliTea Team,,,,,,,,,,ReproducibiliTea Team,,,,,,,,,,,,,,,,reproducibilitea.munich@gmail.com
events/events/20240624_peer_code_review.qmd,"""Peer code review""",Hacky Hour,24-Jun-24,24-Jun-24,Vera Karlbauer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LMU Open Science Center,,,,,,,,,,Dr. Malika Ihle,,,,,,,,,,,,,,,,malika.ihle@lmu.de 
events/events/20240628_reproducible_manuscripts_with_quarto.qmd,"""Reproducible manuscripts with Quarto""",Workshop,28-Jun-24,28-Jun-24,Florian Pargent ,,Florian Kohrt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Open Science Initiative for Psychology (OSIP),,,,,,,,,,Dr. Angelika Stefan,,Lena Schiestel,,,,,,,,,,,,,,malika.ihle@lmu.de 
events/events/20240703_prosozialitat_in_der_wissenschaft.qmd,"""Prosozialität in der Wissenschaft""",ReproducibiliTea Journal Club,3-Jul-24,3-Jul-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ReproducibiliTea Team,,,,,,,,,,Laura Goetz,,Viktoria Wiegelmann,,Gracia Prüm,,Finia Loeb,,Alp Kaan Aksu,,Julian Lange,,,,,,reproducibilitea.munich@gmail.com
events/events/20240711_creating_interactive_graphics_in_r_with_plotly.qmd,"""Creating interactive graphics in R with Plotly""",Workshop,11-Jul-24,11-Jul-24,Maximilian Frank ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Open Science Initiative for Psychology (OSIP),,,,,,,,,,Dr. Angelika Stefan,,Lena Schiestel,,,,,,,,,,,,,,malika.ihle@lmu.de 
events/events/20240909_lmumpg_open_science_summer_school_2024.qmd,LMU-MPG Open Science Summer School 2024,Summer School,9-Sep-24,13-Sep-24,Dr. Malika Ihle,,Maximilian Mandl,,Jean-Claude Passy,,Laura Meier,,Pat Callahan,,Florian Pargent,,Florian Kohrt,,,,David Philip Morgan,,Barbara Kovačić,,Julian Lange,,Maike Kleemeyer,,David Walter,,Valkyrie Felso; Diego Theuerkauf; Kathy Su,,Prof. Dr. Sabina Leonelli,,Dr. Malvika Sharan,,Prof. Dr. Richard McElreath,,Dr. Tim Errington,,Ádám Dér,,Jonas Hagenberg,,Dr. Angela Holzer,,Dr. Miriam Kip,,Dr. Angela Holzer,,Dr. Irene Haslinger,,Max Planck Digital Library (MPDL),,LMU Open Science Center,,,,,,,,Larissa Leiminger,,Dr. Malika Ihle,,,,,,,,,,,,,,malika.ihle@lmu.de 
events/events/20240729_peer_code_review.qmd,"""Peer Code review""",Hacky Hour,29-Jul-24,29-Jul-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LMU Open Science Center,,,,,,,,,,,,,,,,,,,,,,,,,,malika.ihle@lmu.de 
events/events/20240801_software_carpentry__python_flavored__martinsried.qmd,"""Software Carpentry - Python flavored - Martinsried""",Workshop,1-Aug-24,1-Aug-24,Dr. Luisa F. Jiménez-Soto,,Felix Henninger,,Reema Gupta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LMU Open Science Center,,Munich Center for Machine Learning (MCML),,Graduate School of Systemic Neurosciences,,,,,,Dr. Malika Ihle,,,,,,,,,,,,,,,,malika.ihle@lmu.de 
events/events/20240930_reviewing_essential_computing_skills_for_reproducible_workflow.qmd,"""Reviewing essential computing skills for reproducible workflow"",Hacky Hour,30-Sep-24,30-Sep-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LMU Open Science Center,,,,,,,,,,Dr. Malika Ihle,,,,,,,,,,,,,,,,malika.ihle@lmu.de 
events/events/20241009_software_carpentry__python_flavored__grosshadern.qmd,"""Software Carpentry - Python flavored - Grosshadern""",Workshop,9-Oct-24,10-Oct-24,Dr. Balthasar Schachtner,,Maria Matveev,,Dr. Sonja Grath,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LMU Open Science Center,,Munich Center for Machine Learning (MCML),,,,,,,,Dr. Malika Ihle,,,,,,,,,,,,,,,,malika.ihle@lmu.de 
events/events/20241010_software_carpentry__r_flavored__mensa_leopoldstrasse.qmd,"""Software Carpentry - R flavored - Mensa LeopoldstraÃŸe""",Workshop,10-Oct-24,11-Oct-24,Alberto Villagran Asiares,,Alp Kaan Aksu,,Renata Topinkova,,Po-chun Tseng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LMU Open Science Center,,Munich Center for Machine Learning (MCML),,,,,,,,Dr. Malika Ihle,,,,,,,,,,,,,,,,malika.ihle@lmu.de 
